nodo,hora,pax
LineaB:1078,22,25
LineaB:1078,23,2
LineaB:1079,5,14
LineaB:1079,6,241
LineaB:1079,7,673
LineaB:1079,8,869
LineaB:1079,9,602
LineaB:1079,10,391
LineaB:1079,11,318
LineaB:1079,12,407
LineaB:1079,13,365
LineaB:1079,14,273
LineaB:1079,15,249
LineaB:1079,16,362
LineaB:1079,17,366
LineaB:1079,18,404
LineaB:1079,19,221
LineaB:1079,20,180
LineaB:1079,21,107
LineaB:1079,22,63
LineaB:1079,23,6
LineaB:1080,5,11
LineaB:1080,6,82
LineaB:1080,7,260
LineaB:1080,8,362
LineaB:1080,9,276
LineaB:1080,10,181
LineaB:1080,11,152
LineaB:1080,12,258
LineaB:1080,13,227
LineaB:1080,14,223
LineaB:1080,15,202
LineaB:1080,16,277
LineaB:1080,17,396
LineaB:1080,18,334
LineaB:1080,19,142
LineaB:1080,20,100
LineaB:1080,21,94
LineaB:1080,22,106
LineaB:1080,23,8
LineaB:1081,5,244
LineaB:1081,6,971
LineaB:1081,7,2415
LineaB:1081,8,3357
LineaB:1081,9,2519
LineaB:1081,10,1313
LineaB:1081,11,1020
LineaB:1081,12,1277
LineaB:1081,13,1232
LineaB:1081,14,964
LineaB:1081,15,877
LineaB:1081,16,1140
LineaB:1081,17,1230
LineaB:1081,18,1153
LineaB:1081,19,624
LineaB:1081,20,380
LineaB:1081,21,261
LineaB:1081,22,154
LineaB:1081,23,19
LineaB:1082,5,50
LineaB:1082,6,235
LineaB:1082,7,623
LineaB:1082,8,835
LineaB:1082,9,681
LineaB:1082,10,522
LineaB:1082,11,460
LineaB:1082,12,555
LineaB:1082,13,525
LineaB:1082,14,446
LineaB:1082,15,543
LineaB:1082,16,663
LineaB:1082,17,827
LineaB:1082,18,797
LineaB:1082,19,474
LineaB:1082,20,268
LineaB:1082,21,189
LineaB:1082,22,167
LineaB:1082,23,156
LineaB:1083,5,28
LineaB:1083,6,206
LineaB:1083,7,857
LineaB:1083,8,1138
LineaB:1083,9,995
LineaB:1083,10,618
LineaB:1083,11,508
LineaB:1083,12,668
LineaB:1083,13,627
LineaB:1083,14,592
LineaB:1083,15,532
LineaB:1083,16,730
LineaB:1083,17,707
LineaB:1083,18,683
LineaB:1083,19,463
LineaB:1083,20,364
LineaB:1083,21,225
LineaB:1083,22,101
LineaB:1083,23,9
LineaB:1084,5,28
LineaB:1084,6,238
LineaB:1084,7,903
LineaB:1084,8,1368
LineaB:1084,9,1070
LineaB:1084,10,746
LineaB:1084,11,613
LineaB:1084,12,737
LineaB:1084,13,745
LineaB:1084,14,662
LineaB:1084,15,637
LineaB:1084,16,790
LineaB:1084,17,922
LineaB:1084,18,890
LineaB:1084,19,676
LineaB:1084,20,408
LineaB:1084,21,278
LineaB:1084,22,167
LineaB:1084,23,11
LineaB:1085,5,47
LineaB:1085,6,194
LineaB:1085,7,784
LineaB:1085,8,912
LineaB:1085,9,797
LineaB:1085,10,716
LineaB:1085,11,656
LineaB:1085,12,822
LineaB:1085,13,751
LineaB:1085,14,666
LineaB:1085,15,712
LineaB:1085,16,909
LineaB:1085,17,883
LineaB:1085,18,932
LineaB:1085,19,640
LineaB:1085,20,507
LineaB:1085,21,320
LineaB:1085,22,228
LineaB:1085,23,35
LineaB:1086,5,23
LineaB:1086,6,93
LineaB:1086,7,314
LineaB:1086,8,374
LineaB:1086,9,351
LineaB:1086,10,356
LineaB:1086,11,390
LineaB:1086,12,551
LineaB:1086,13,572
LineaB:1086,14,549
LineaB:1086,15,671
LineaB:1086,16,825
LineaB:1086,17,886
LineaB:1086,18,941
LineaB:1086,19,807
LineaB:1086,20,632
LineaB:1086,21,581
LineaB:1086,22,345
LineaB:1086,23,53
LineaB:1087,5,32
LineaB:1087,6,120
LineaB:1087,7,343
LineaB:1087,8,434
LineaB:1087,9,444
LineaB:1087,10,423
LineaB:1087,11,566
LineaB:1087,12,645
LineaB:1087,13,641
LineaB:1087,14,561
LineaB:1087,15,653
LineaB:1087,16,763
LineaB:1087,17,649
LineaB:1087,18,616
LineaB:1087,19,290
LineaB:1087,20,151
LineaB:1087,21,85
LineaB:1087,22,35
LineaB:1087,23,7
LineaB:1088,5,21
LineaB:1088,6,68
LineaB:1088,7,221
LineaB:1088,8,281
LineaB:1088,9,310
LineaB:1088,10,395
LineaB:1088,11,521
LineaB:1088,12,744
LineaB:1088,13,653
LineaB:1088,14,665
LineaB:1088,15,752
LineaB:1088,16,891
LineaB:1088,17,826
LineaB:1088,18,656
LineaB:1088,19,383
LineaB:1088,20,271
LineaB:1088,21,185
LineaB:1088,22,75
LineaB:1088,23,8
LineaB:1089,5,20
LineaB:1089,6,118
LineaB:1089,7,228
LineaB:1089,8,334
LineaB:1089,9,371
LineaB:1089,10,380
LineaB:1089,11,470
LineaB:1089,12,850
LineaB:1089,13,854
LineaB:1089,14,687
